architecture,lr,batch_size,dropout,batchnorm,epochs_ran,best_val_loss,test_accuracy,test_precision,test_recall,test_f1,train_time_sec,params
32,0.0001,16,0.3,True,100,0.16184358298778534,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,14.359582901000977,1153
64-32-16,0.0001,16,0.3,True,100,0.13535790145397186,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,14.67684030532837,5057
128-64-32,0.0001,16,0.3,True,100,0.12483174353837967,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,15.266159534454346,15233
32,0.0005,32,0.3,False,100,0.07329638302326202,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,20.147903203964233,1025
32,0.0005,32,0.0,False,100,0.06395211815834045,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,25.457193613052368,1025
128-64-32,0.001,32,0.3,False,52,0.07460801303386688,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,6.58845591545105,14337
128-64-32,0.001,32,0.3,True,44,0.05702235922217369,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,6.631556510925293,15233
128-64-32,0.0005,32,0.3,False,55,0.062374431639909744,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,7.600930213928223,14337
32,0.001,16,0.0,False,96,0.06799859553575516,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,12.414629220962524,1025
64-32,0.0001,16,0.2,False,100,0.07552345842123032,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,14.31121015548706,4097
32,0.0005,16,0.3,True,100,0.05756022036075592,0.9473684210526315,0.9852941176470589,0.9305555555555556,0.9571428571428572,25.817850828170776,1153
32,0.0001,32,0.3,False,100,0.19877052307128906,0.9385964912280702,0.9333333333333333,0.9722222222222222,0.9523809523809523,11.513006210327148,1025
64-32,0.0001,32,0.0,False,100,0.10882008820772171,0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345,11.320705652236938,4097
64-32-16,0.0001,32,0.2,False,100,0.13083535432815552,0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345,11.61203384399414,4609
128-64-32,0.001,16,0.2,False,29,0.07833179831504822,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,4.667285919189453,14337
64-32-16,0.001,16,0.0,False,32,0.062296025454998016,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,5.338625431060791,4609
64-32,0.001,32,0.2,False,57,0.05520571023225784,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,7.395460844039917,4097
64-32-16,0.0005,16,0.2,False,73,0.06329061836004257,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,10.833581686019897,4609
64-32,0.0001,32,0.2,True,100,0.09760409593582153,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,12.025811672210693,4481
32,0.0001,32,0.2,True,100,0.15611214935779572,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,30.515021562576294,1153
64-32-16,0.001,32,0.0,True,60,0.07024651765823364,0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,8.937933683395386,5057
64-32-16,0.0005,32,0.0,True,100,0.07480595260858536,0.9385964912280702,0.9710144927536232,0.9305555555555556,0.950354609929078,12.58857774734497,5057
64-32,0.0005,16,0.2,False,64,0.06520282477140427,0.9385964912280702,0.9850746268656716,0.9166666666666666,0.9496402877697842,10.03580117225647,4097
64-32-16,0.0001,32,0.3,False,100,0.1470007747411728,0.9298245614035088,0.9324324324324325,0.9583333333333334,0.9452054794520548,12.148585796356201,4609
64-32-16,0.0005,16,0.3,False,64,0.0656866729259491,0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,9.37410831451416,4609
64-32-16,0.0001,32,0.0,True,100,0.16176225244998932,0.9298245614035088,0.9571428571428572,0.9305555555555556,0.9436619718309859,12.841171741485596,5057
64-32-16,0.0005,32,0.2,True,100,0.09089160710573196,0.9298245614035088,0.9705882352941176,0.9166666666666666,0.9428571428571428,12.535215616226196,5057
64-32-16,0.0001,32,0.3,True,100,0.20368193089962006,0.9298245614035088,0.9705882352941176,0.9166666666666666,0.9428571428571428,13.197490215301514,5057
128-64-32,0.0001,32,0.2,True,100,0.10885634273290634,0.9298245614035088,0.9705882352941176,0.9166666666666666,0.9428571428571428,13.298620223999023,15233
128-64-32,0.0001,16,0.0,True,100,0.09354142099618912,0.9298245614035088,0.9705882352941176,0.9166666666666666,0.9428571428571428,15.331350803375244,15233
32,0.0001,32,0.3,True,100,0.18716809153556824,0.9298245614035088,0.9705882352941176,0.9166666666666666,0.9428571428571428,22.458080053329468,1153
64-32-16,0.0001,16,0.0,True,100,0.13341359794139862,0.9210526315789473,0.9701492537313433,0.9027777777777778,0.935251798561151,15.20691967010498,5057
32,0.0001,32,0.0,False,100,0.2032923847436905,0.9210526315789473,0.9846153846153847,0.8888888888888888,0.9343065693430657,27.440783739089966,1025
32,0.0001,16,0.2,True,100,0.12789714336395264,0.9122807017543859,0.984375,0.875,0.9264705882352942,20.12681484222412,1153
